,year,ncessch,school_id,school_name,leaid,lea_name,state_leaid,seasch,street_mailing,city_mailing,state_mailing,zip_mailing,street_location,city_location,state_location,zip_location,phone,fips,latitude,longitude,csa,cbsa,urban_centric_locale,county_code,school_level,school_type,school_status,lowest_grade_offered,highest_grade_offered,bureau_indian_education,title_i_status,title_i_eligible,title_i_schoolwide,charter,magnet,shared_time,virtual,teachers_fte,free_lunch,reduced_price_lunch,free_or_reduced_price_lunch,elem_cedp,high_cedp,middle_cedp,ungrade_cedp,enrollment,state_leg_district_lower,state_leg_district_upper,ncessch_num,congress_district_id,direct_certification,lunch_program
0,2016,450000100063,00063,Lee High,4500001,Dept Of Correction N04,SC-5209,5209-021,990 Wisacki Highway,Bishopville,SC,29010,990 Wisacki Highway,Bishopville,SC,29010,(803)896-3190,45,34.197587,-80.226312,-2,-2,41.0,45061,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,6.0,62.0,0.0,62.0,0,1,0,0,65.0,45050,45029,450000100063,4505.0,,1.0
1,2016,450000100148,00148,Trenton High,4500001,Dept Of Correction N04,SC-5209,5209-022,84 Greenhouse Road,Trenton,SC,29847,84 Greenhouse Road,Trenton,SC,29847,(803)896-3178,45,33.714142,-81.841542,-2,12260,42.0,45037,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,6.0,79.0,0.0,79.0,0,1,0,0,82.0,45082,45025,450000100148,4503.0,,1.0
2,2016,450000100238,00238,Turbeville High,4500001,Dept Of Correction N04,SC-5209,5209-024,1578 Clarence Coker Highway,Turbeville,SC,29162,1578 Clarence Coker Highway,Turbeville,SC,29162,(803)896-3190,45,33.886351,-80.079983,-2,-2,42.0,45027,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,4.0,172.0,0.0,172.0,0,1,0,0,186.0,45064,45036,450000100238,4506.0,,1.0
3,2016,450000100255,00255,Tyger River High,4500001,Dept Of Correction N04,SC-5209,5209-003,100-200 Prison Road,Enoree,SC,29335,100-200 Prison Road,Enoree,SC,29335,(803)896-3625,45,34.712488,-81.827048,273,43900,42.0,45083,3,4,1,9.0,12.0,,3.0,1.0,1.0,0,0.0,0.0,3.0,4.0,30.0,0.0,30.0,0,1,0,0,33.0,45033,45013,450000100255,4504.0,,1.0
4,2016,450000100266,00266,Ridgeland High,4500001,Dept Of Correction N04,SC-5209,5209-023,P.O. Box 2039,Ridgeland,SC,29936,5 Correctional Road,Ridgeland,SC,29936,(803)896-3178,45,32.494194,-80.966678,-2,25940,32.0,45053,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,1.0,,,,0,1,0,0,6.0,45122,45045,450000100266,4506.0,,1.0
5,2016,450000100939,00939,Manning High,4500001,Dept Of Correction N04,SC-5209,5209-007,502 Beckman Road,Columbia,SC,29203,502 Beckman Road,Columbia,SC,29203,(803)896-1583,45,34.083279,-80.988752,192,17900,12.0,45079,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,3.0,112.0,0.0,112.0,0,1,0,0,115.0,45077,45019,450000100939,4506.0,,1.0
6,2016,450000101376,01376,MacDougall High,4500001,Dept Of Correction N04,SC-5209,5209-006,1516 Old Gilliard Road,Ridgeville,SC,29472,1516 Old Gilliard Road,Ridgeville,SC,29472,(803)896-1583,45,33.169902,-80.290996,-2,16700,42.0,45015,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,3.0,,,,0,1,0,0,5.0,45102,45039,450000101376,4506.0,,1.0
7,2016,450000101378,01378,Sara Babb High,4500001,Dept Of Correction N04,SC-5209,5209-011,4450 Broad River Road,Columbia,SC,29210,4450 Broad River Road,Columbia,SC,29210,(803)896-1583,45,34.071935,-81.102995,192,17900,12.0,45079,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,2.0,21.0,0.0,21.0,0,1,0,0,24.0,45073,45019,450000101378,4506.0,,1.0
8,2016,450000101423,01423,Wateree River High,4500001,Dept Of Correction N04,SC-5209,5209-009,P.O. Box 1089,Rembert,SC,29128,8200 State Farm Road,Rembert,SC,29128,(803)896-3178,45,34.081707,-80.586703,-2,44940,42.0,45085,3,4,1,9.0,12.0,,6.0,0.0,0.0,0,0.0,0.0,3.0,4.0,,,,0,1,0,0,4.0,45050,45035,450000101423,4505.0,,1.0
9,2016,450000200435,00435,Harleyville Elementary,4500002,Dorchester 04,SC-1804,1804-016,1650 East Main Street,Dorchester,SC,29437,1650 East Main Street,Dorchester,SC,29437,(843)462-7671,45,33.154522,-80.379542,-2,16700,42.0,45035,1,1,1,-1.0,5.0,,3.0,1.0,1.0,0,0.0,0.0,0.0,22.0,275.0,0.0,275.0,1,0,0,0,275.0,45097,45039,450000200435,4506.0,211.0,2.0
