,year,ncessch,ncessch_num,grade,race,sex,enrollment,fips,leaid
0,2015,010000200277,10000200277,12,99,99,-1,1,100002
1,2015,010000201667,10000201667,12,99,99,-1,1,100002
2,2015,010000201670,10000201670,12,99,99,-1,1,100002
3,2015,010000201705,10000201705,12,99,99,-1,1,100002
4,2015,010000201706,10000201706,12,99,99,-1,1,100002
5,2015,010000500871,10000500871,12,99,99,282,1,100005
6,2015,010000600872,10000600872,12,99,99,67,1,100006
7,2015,010000600878,10000600878,12,99,99,148,1,100006
8,2015,010000600883,10000600883,12,99,99,114,1,100006
9,2015,010000600986,10000600986,12,99,99,-1,1,100006
10,2015,010000600987,10000600987,12,99,99,-1,1,100006
11,2015,010000601585,10000601585,12,99,99,82,1,100006
12,2015,010000700251,10000700251,12,99,99,683,1,100007
13,2015,010000700337,10000700337,12,99,99,3,1,100007
14,2015,010000701456,10000701456,12,99,99,390,1,100007
15,2015,010000702359,10000702359,12,99,99,-1,1,100007
16,2015,010000800831,10000800831,12,99,99,440,1,100008
17,2015,010000802198,10000802198,12,99,99,390,1,100008
18,2015,010000901403,10000901403,12,99,99,-1,1,100009
19,2015,010000901404,10000901404,12,99,99,-1,1,100009
20,2015,010000901405,10000901405,12,99,99,-1,1,100009
21,2015,010000901406,10000901406,12,99,99,-1,1,100009
22,2015,010001102096,10001102096,12,99,99,119,1,100011
23,2015,010001200874,10001200874,12,99,99,132,1,100012
24,2015,010001301682,10001301682,12,99,99,370,1,100013
25,2015,010001502121,10001502121,12,99,99,-1,1,100015
26,2015,010001502126,10001502126,12,99,99,-1,1,100015
27,2015,010001802104,10001802104,12,99,99,-1,1,100018
28,2015,010003000001,10003000001,12,99,99,2,1,100030
29,2015,010003000003,10003000003,12,99,99,230,1,100030
30,2015,010004401855,10004401855,12,99,99,-1,1,100044
31,2015,010006000007,10006000007,12,99,99,96,1,100060
32,2015,010009000011,10009000011,12,99,99,116,1,100090
33,2015,010009001246,10009001246,12,99,99,-1,1,100090
34,2015,010010000028,10010000028,12,99,99,193,1,100100
35,2015,010012001472,10012001472,12,99,99,234,1,100120
36,2015,010018000033,10018000033,12,99,99,169,1,100180
37,2015,010018502137,10018502137,12,99,99,231,1,100185
38,2015,010018802194,10018802194,12,99,99,41,1,100188
39,2015,010018902195,10018902195,12,99,99,99,1,100189
40,2015,010019001183,10019001183,12,99,99,427,1,100190
41,2015,010019402399,10019402399,12,99,99,193,1,100194
42,2015,010021000036,10021000036,12,99,99,534,1,100210
43,2015,010024000045,10024000045,12,99,99,40,1,100240
44,2015,010024000046,10024000046,12,99,99,130,1,100240
45,2015,010024000048,10024000048,12,99,99,483,1,100240
46,2015,010024000587,10024000587,12,99,99,-1,1,100240
47,2015,010024000590,10024000590,12,99,99,-1,1,100240
48,2015,010024001408,10024001408,12,99,99,35,1,100240
49,2015,010024001550,10024001550,12,99,99,-1,1,100240
50,2015,010027000024,10027000024,12,99,99,322,1,100270
51,2015,010027000100,10027000100,12,99,99,342,1,100270
52,2015,010027000641,10027000641,12,99,99,202,1,100270
53,2015,010027000664,10027000664,12,99,99,-1,1,100270
54,2015,010027000665,10027000665,12,99,99,-1,1,100270
55,2015,010027001759,10027001759,12,99,99,296,1,100270
56,2015,010027001784,10027001784,12,99,99,429,1,100270
57,2015,010027001810,10027001810,12,99,99,276,1,100270
58,2015,010027002073,10027002073,12,99,99,278,1,100270
59,2015,010030000074,10030000074,12,99,99,61,1,100300
60,2015,010033000087,10033000087,12,99,99,209,1,100330
61,2015,010033001264,10033001264,12,99,99,-1,1,100330
62,2015,010033001267,10033001267,12,99,99,-1,1,100330
63,2015,010036000092,10036000092,12,99,99,98,1,100360
64,2015,010036000099,10036000099,12,99,99,122,1,100360
65,2015,010036000669,10036000669,12,99,99,-1,1,100360
66,2015,010039000073,10039000073,12,99,99,-1,1,100390
67,2015,010039000141,10039000141,12,99,99,287,1,100390
68,2015,010039000164,10039000164,12,99,99,210,1,100390
69,2015,010039000165,10039000165,12,99,99,172,1,100390
70,2015,010039000176,10039000176,12,99,99,197,1,100390
71,2015,010039000192,10039000192,12,99,99,172,1,100390
72,2015,010039000198,10039000198,12,99,99,173,1,100390
73,2015,010039001288,10039001288,12,99,99,-1,1,100390
74,2015,010039001296,10039001296,12,99,99,0,1,100390
75,2015,010039001468,10039001468,12,99,99,160,1,100390
76,2015,010039001629,10039001629,12,99,99,-1,1,100390
77,2015,010039001761,10039001761,12,99,99,0,1,100390
78,2015,010039001765,10039001765,12,99,99,-1,1,100390
79,2015,010042000203,10042000203,12,99,99,41,1,100420
80,2015,010042000206,10042000206,12,99,99,51,1,100420
81,2015,010042000208,10042000208,12,99,99,164,1,100420
82,2015,010042000209,10042000209,12,99,99,82,1,100420
83,2015,010042000210,10042000210,12,99,99,90,1,100420
84,2015,010042000211,10042000211,12,99,99,47,1,100420
85,2015,010042000213,10042000213,12,99,99,75,1,100420
86,2015,010042000670,10042000670,12,99,99,-1,1,100420
87,2015,010042000676,10042000676,12,99,99,-1,1,100420
88,2015,010042000682,10042000682,12,99,99,-1,1,100420
89,2015,010045000216,10045000216,12,99,99,83,1,100450
90,2015,010048000218,10048000218,12,99,99,113,1,100480
91,2015,010048000688,10048000688,12,99,99,-1,1,100480
92,2015,010051000226,10051000226,12,99,99,146,1,100510
93,2015,010051000229,10051000229,12,99,99,29,1,100510
94,2015,010051000690,10051000690,12,99,99,-1,1,100510
95,2015,010051002144,10051002144,12,99,99,36,1,100510
96,2015,010054000232,10054000232,12,99,99,160,1,100540
97,2015,010054000240,10054000240,12,99,99,76,1,100540
98,2015,010054000243,10054000243,12,99,99,104,1,100540
99,2015,010054000247,10054000247,12,99,99,81,1,100540
