,crdc_id,year,fips,leaid,ncessch,school_name_crdc,schoolid_crdc,lea_name,leaid_crdc,lea_state,prek,k,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,ug,primarily_serve_students_w_dis,charter_crdc,magnet_crdc,entire_school_magnet,alt_school,alt_school_focus,ability_grouped_math_or_eng,ug_elementary_school,ug_middle_school,ug_high_school
0,450000100063,2015,45,4500001,450000100063,Lee High,63,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
1,450000100148,2015,45,4500001,450000100148,Trenton High,148,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
2,450000100238,2015,45,4500001,450000100238,Turbeville High,238,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
3,450000100255,2015,45,4500001,450000100255,Tyger River High,255,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
4,450000100266,2015,45,4500001,450000100266,Ridgeland High,266,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
5,450000100939,2015,45,4500001,450000100939,Manning High,939,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
6,450000101376,2015,45,4500001,450000101376,MacDougall High,1376,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
7,450000101378,2015,45,4500001,450000101378,Sara Babb High,1378,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
8,450000101423,2015,45,4500001,450000101423,Wateree River High,1423,Palmetto Unified School District,4500001,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,0,-2,,0,0,1
9,450000200435,2015,45,4500002,450000200435,Harleyville Elementary,435,Dorchester 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
10,450000200439,2015,45,4500002,450000200439,St. George Middle,439,Dorchester 04,4500002,SC,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
11,450000200444,2015,45,4500002,450000200444,William Memorial Elementary,444,Dorchester 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
12,450000200445,2015,45,4500002,450000200445,Woodland High,445,Dorchester 04,4500002,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,-2,0,-2,,-2,-2,-2
13,450000201597,2015,45,4500002,450000201597,Harleyville-Ridgeville Middle,1597,Dorchester 04,4500002,SC,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
14,450000201600,2015,45,4500002,450000201600,Clay Hill Elementary,1600,Dorchester 04,4500002,SC,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,,-2,-2,-2
15,450000401226,2015,45,4500004,450000401226,SC School for the Blind High,1226,Deaf & Blind School,4500004,SC,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,-2,0,-2,,-2,-2,-2
