,crdc_id,year,ncessch,leaid,fips,salaries_teachers,salaries_total,salaries_instruc_staff,salaries_instructional_aides,salaries_support,salaries_administration,expenditures_nonpersonnel,instructional_aides_fte,support_fte,administration_fte
0,450000100063,2013,450000100063,4500001,45,234804,335769.300,234804,,,,8000.000,,,
1,450000100148,2013,450000100148,4500001,45,262531,412165.770,348722,,,,23021.000,,,
2,450000100238,2013,450000100238,4500001,45,531839,730433.120,531839,,,,13225.000,,,
3,450000100255,2013,450000100255,4500001,45,296916,509374.950,296916,,,,19410.000,,,
4,450000100266,2013,450000100266,4500001,45,89894,171032.350,113114,,,,4743.000,,,
5,450000100939,2013,450000100939,4500001,45,214869,290710.630,240474,,,,4173.000,,,
6,450000101376,2013,450000101376,4500001,45,146977,233298.240,146977,,,,2860.000,,,
7,450000101378,2013,450000101378,4500001,45,144102,248093.090,187365,,,,8015.000,,,
8,450000101413,2013,450000101413,4500001,45,83431,106285.930,83431,,,,4893.000,,,
9,450000101423,2013,450000101423,4500001,45,157189,251298.650,173143,,,,9403.000,,,
10,450000200435,2013,450000200435,4500002,45,1125642,1355817.000,1125642,,,,497366.000,,,
11,450000200439,2013,450000200439,4500002,45,989769,1162432.000,989769,,,,810967.000,,,
12,450000200444,2013,450000200444,4500002,45,2257814,2942567.000,2257814,,,,899558.000,,,
13,450000200445,2013,450000200445,4500002,45,2011468,2218617.000,2011468,,,,1182732.000,,,
14,450000201597,2013,450000201597,4500002,45,786477,892624.000,786477,,,,550480.000,,,
15,450000201600,2013,450000201600,4500002,45,1379900,1498926.000,1379900,,,,444190.000,,,
16,450000301401,2013,450000301401,4500003,45,911769,1383426.000,973132,,,,80000.000,,,
17,450000401226,2013,450000401226,4500004,45,564948,933831.000,650657,,,,167223.000,,,
18,450000401227,2013,450000401227,4500004,45,591058,905239.000,642071,,,,112560.000,,,
19,450000401228,2013,450000401228,4500004,45,562900,1142493.000,1012417,,,,112560.000,,,
20,450000401246,2013,450000401246,4500004,45,414096,1770705.000,1371528,,,,125417.000,,,
21,450000401402,2013,450000401402,4500004,45,785699,1495706.000,1041018,,,,274261.000,,,
22,450069000002,2013,450069000002,4500690,45,720267,1719045.140,754802,,,,146537.000,,,
23,450069000010,2013,450069000010,4500690,45,1104258,2565706.110,1117952,,,,302024.000,,,
24,450069000011,2013,450069000011,4500690,45,1378291,1846759.210,1392846,,,,441396.000,,,
25,450069000012,2013,450069000012,4500690,45,1061433,1453161.900,1103376,,,,439433.000,,,
26,450069000065,2013,450069000065,4500690,45,1305412,1545431.220,1354941,,,,208541.000,,,
27,450069000066,2013,450069000066,4500690,45,869144,1168063.500,918373,,,,206678.000,,,
28,450069000071,2013,450069000071,4500690,45,1280704,1675711.110,1418294,,,,260880.000,,,
29,450069001379,2013,450069001379,4500690,45,906640,1183791.220,906640,,,,191124.000,,,
30,450072000016,2013,450072000016,4500720,45,1465307,1970478.180,1538818,,,,131717.000,,,
31,450072000018,2013,450072000018,4500720,45,1710819,2324798.570,1805387,,,,214129.000,,,
32,450072000019,2013,450072000019,4500720,45,1377202,1851588.040,1440801,,,,132527.000,,,
33,450072000020,2013,450072000020,4500720,45,1195835,1608264.150,1266190,,,,105389.000,,,
34,450072000021,2013,450072000021,4500720,45,1859838,2750457.180,1941136,,,,230978.000,,,
35,450072000023,2013,450072000023,4500720,45,1445039,1931689.800,1494695,,,,151510.000,,,
36,450072000025,2013,450072000025,4500720,45,843628,1217839.270,893924,,,,88063.000,,,
37,450072000026,2013,450072000026,4500720,45,1006139,1415457.870,1056050,,,,98496.000,,,
38,450072000027,2013,450072000027,4500720,45,1955465,2585982.530,2071020,,,,197848.000,,,
39,450072000030,2013,450072000030,4500720,45,1681870,2202826.120,1750934,,,,159557.000,,,
40,450072000031,2013,450072000031,4500720,45,1486575,2057517.570,1561924,,,,143190.000,,,
41,450072000032,2013,450072000032,4500720,45,1576530,2179743.790,1647898,,,,194685.000,,,
42,450072000034,2013,450072000034,4500720,45,1585924,2288123.610,1655504,,,,175402.000,,,
43,450072000040,2013,450072000040,4500720,45,1090849,1504908.360,1137755,,,,119488.000,,,
44,450072000045,2013,450072000045,4500720,45,2148314,2736461.980,2221782,,,,172690.000,,,
45,450072000046,2013,450072000046,4500720,45,3503317,5632168.050,3579494,,,,607448.000,,,
46,450072000050,2013,450072000050,4500720,45,1447246,2045728.310,1499982,,,,179775.000,,,
47,450072000054,2013,450072000054,4500720,45,1435517,2026109.220,1469209,,,,208354.000,,,
48,450072000055,2013,450072000055,4500720,45,3262636,4940172.250,3291866,,,,521533.000,,,
49,450072000056,2013,450072000056,4500720,45,908909,1814735.140,941246,,,,211670.000,,,
50,450072000057,2013,450072000057,4500720,45,1210376,2208608.670,1261420,,,,295659.000,,,
51,450072000073,2013,450072000073,4500720,45,1223316,1785461.710,1256655,,,,228729.000,,,
52,450072000682,2013,450072000682,4500720,45,110470,335347.000,234743,,,,21320.000,,,
53,450072000684,2013,450072000684,4500720,45,687950,1089194.000,744175,,,,332059.000,,,
54,450072000940,2013,450072000940,4500720,45,100000,143721.000,100605,,,,9137.000,,,
55,450072001007,2013,450072001007,4500720,45,1542733,2105074.360,1624251,,,,209438.000,,,
56,450072001189,2013,450072001189,4500720,45,1940432,2548377.490,2022464,,,,193587.000,,,
57,450072001193,2013,450072001193,4500720,45,1289968,1767262.250,1351176,,,,147455.000,,,
58,450072001194,2013,450072001194,4500720,45,1216361,1747575.100,1240760,,,,183096.000,,,
59,450072001196,2013,450072001196,4500720,45,1038011,1554697.790,1064990,,,,158296.000,,,
60,450072001197,2013,450072001197,4500720,45,2228956,2866078.050,2248466,,,,243742.000,,,
61,450072001198,2013,450072001198,4500720,45,2934385,4540194.460,3018073,,,,501087.000,,,
62,450072001199,2013,450072001199,4500720,45,606596,1020300.950,622751,,,,89777.000,,,
63,450072001200,2013,450072001200,4500720,45,1117934,1552902.200,1185924,,,,133382.000,,,
64,450072001201,2013,450072001201,4500720,45,1356497,1944507.020,1386229,,,,214322.000,,,
65,450072001202,2013,450072001202,4500720,45,3576644,4889120.500,3603930,,,,462911.000,,,
66,450072001321,2013,450072001321,4500720,45,719784,1151364.420,755780,,,,116358.000,,,
67,450072001323,2013,450072001323,4500720,45,1775163,2929616.840,1820773,,,,345695.000,,,
68,450072001390,2013,450072001390,4500720,45,1755090,2388681.690,1841128,,,,172508.000,,,
69,450072099999,2013,,,45,524172,1654371.730,629305,,,,221260.000,,,
70,450075000064,2013,450075000064,4500750,45,1413925,2187213.000,1507024,,,,644419.000,,,
71,450075001184,2013,450075001184,4500750,45,878327,1592870.000,947118,,,,378205.000,,,
72,450075001349,2013,450075001349,4500750,45,819338,1722316.000,1436153,,,,201853.000,,,
73,450075001415,2013,450075001415,4500750,45,634537,1198332.000,714168,,,,2437879.000,,,
74,450075099999,2013,,,45,156915,236135.000,226330,,,,95714.000,,,
75,450078000067,2013,450078000067,4500780,45,1493619,2234213.520,1860802,,,,40725.000,,,
76,450078000068,2013,450078000068,4500780,45,1258958,2010177.620,1718525,,,,63444.000,,,
77,450078000070,2013,450078000070,4500780,45,1098311,1791477.240,1444441,,,,49366.000,,,
78,450078000072,2013,450078000072,4500780,45,1206815,1923004.380,1569302,,,,48047.000,,,
79,450078000074,2013,450078000074,4500780,45,1886224,2946573.780,2405327,,,,98137.000,,,
80,450078000076,2013,450078000076,4500780,45,2209223,3327264.170,2629121,,,,68433.000,,,
81,450078000077,2013,450078000077,4500780,45,2772827,4250502.380,3416713,,,,85842.000,,,
82,450078000545,2013,450078000545,4500780,45,1039466,1810847.140,1412606,,,,48824.000,,,
