,state_location,school_counts,enrollment_mean,g9_enrollment_mean,g10_enrollment_mean,g11_enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
0,AK,48,548.0,144.0,137.0,133.0,125.0,30.0,6.0,76.0,1948394.62,2687676.29,519521.46
1,AL,271,740.0,177.0,182.0,178.0,173.0,42.0,4.0,205.0,2103234.65,2725699.98,892533.22
2,AR,272,501.0,106.0,130.0,124.0,117.0,40.0,1.0,156.0,1853331.88,2375981.85,1581911.9
3,AZ,408,744.0,191.0,188.0,174.0,182.0,54.0,12.0,142.0,1767939.13,2689799.38,768994.37
4,CA,1283,1353.0,356.0,343.0,325.0,319.0,58.0,5.0,254.0,4500378.41,6107362.81,1163814.69
5,CO,278,828.0,216.0,207.0,198.0,196.0,44.0,11.0,202.0,2523295.68,3347631.2,687273.1
6,CT,172,841.0,224.0,212.0,208.0,203.0,70.0,6.0,249.0,5236139.65,7003150.54,1848413.61
7,DC,28,503.0,147.0,124.0,120.0,111.0,38.0,5.0,181.0,3011276.54,5037065.65,1195233.89
8,DE,29,1024.0,297.0,257.0,237.0,223.0,67.0,3.0,248.0,4982663.72,6402117.83,1986154.31
9,FL,486,1590.0,419.0,410.0,395.0,365.0,84.0,7.0,526.0,3885002.77,5517565.6,728634.21
10,GA,390,1270.0,356.0,330.0,302.0,284.0,74.0,9.0,255.0,3916559.45,5196421.98,855191.21
11,HI,39,1266.0,346.0,317.0,285.0,270.0,80.0,1.0,315.0,3002397.31,3906169.91,878612.51
12,IA,297,481.0,111.0,119.0,116.0,118.0,32.0,6.0,100.0,1914180.37,2590852.56,598474.79
13,ID,113,673.0,163.0,177.0,167.0,156.0,36.0,3.0,192.0,1723290.75,2333961.87,472876.57
14,IL,691,847.0,218.0,215.0,209.0,204.0,53.0,9.0,240.0,3873307.39,5295079.04,1141038.47
15,IN,356,884.0,215.0,213.0,217.0,204.0,53.0,4.0,162.0,2567968.5,3423722.17,1160727.74
16,KS,305,462.0,116.0,111.0,107.0,105.0,32.0,2.0,85.0,1602186.24,2925367.13,412793.73
17,KY,211,890.0,237.0,225.0,216.0,201.0,51.0,2.0,333.0,2626537.29,3393852.97,2101721.07
18,LA,205,850.0,226.0,209.0,197.0,188.0,46.0,6.0,246.0,2600608.1,3404139.56,914403.15
19,MA,289,856.0,213.0,206.0,203.0,200.0,66.0,3.0,204.0,4877882.72,6451205.44,640492.53
20,MD,185,1307.0,359.0,343.0,302.0,302.0,80.0,16.0,378.0,5562268.77,6915691.05,471685.38
21,ME,106,472.0,114.0,115.0,116.0,116.0,37.0,4.0,113.0,2088714.63,2927420.72,963776.84
22,MI,555,704.0,179.0,179.0,169.0,167.0,34.0,4.0,161.0,2027610.04,2777885.19,573996.33
23,MN,417,614.0,146.0,145.0,145.0,139.0,35.0,4.0,157.0,2209126.58,3549816.67,872866.74
24,MO,483,542.0,136.0,133.0,129.0,127.0,37.0,2.0,135.0,1909844.66,2543214.36,459428.64
25,MS,199,657.0,162.0,162.0,150.0,144.0,41.0,5.0,214.0,2029600.19,2768515.51,493058.75
26,MT,169,250.0,67.0,65.0,61.0,57.0,18.0,0.0,60.0,898533.86,1429990.36,399090.88
27,NC,475,923.0,254.0,238.0,225.0,208.0,54.0,4.0,204.0,2469181.29,3147000.45,360533.89
28,ND,166,195.0,45.0,43.0,44.0,43.0,17.0,1.0,40.0,1149723.21,1389730.58,416508.45
29,NE,268,382.0,89.0,89.0,86.0,91.0,28.0,6.0,108.0,1647135.01,2204647.63,581299.43
30,NH,94,597.0,159.0,153.0,145.0,141.0,49.0,6.0,145.0,2878932.67,4085475.28,1243787.23
31,NJ,356,1062.0,258.0,256.0,254.0,253.0,86.0,5.0,298.0,6400535.44,8873512.85,2014863.94
32,NM,170,509.0,143.0,133.0,119.0,113.0,29.0,6.0,187.0,1505955.34,2089398.32,410774.55
33,NV,97,1365.0,366.0,364.0,340.0,319.0,59.0,3.0,403.0,3859537.86,5329174.51,1166663.71
34,NY,944,764.0,190.0,190.0,177.0,177.0,54.0,8.0,186.0,4583400.43,6048849.05,1001044.62
35,OH,784,634.0,164.0,159.0,143.0,144.0,35.0,3.0,198.0,2364326.76,3162699.9,1041747.98
36,OK,462,395.0,104.0,104.0,99.0,93.0,23.0,3.0,106.0,1054949.2,1550036.87,1258016.91
37,OR,229,714.0,182.0,177.0,172.0,172.0,33.0,4.0,117.0,2159689.8,3012689.0,791853.6
38,PA,580,843.0,205.0,204.0,200.0,200.0,56.0,6.0,189.0,3869375.03,4985725.74,1446651.53
39,RI,50,797.0,211.0,207.0,195.0,183.0,62.0,7.0,216.0,4594885.2,6243240.22,1327748.78
40,SC,205,1018.0,285.0,270.0,242.0,232.0,63.0,5.0,254.0,2952721.19,4310404.94,2439518.68
41,SD,160,232.0,65.0,59.0,55.0,53.0,16.0,2.0,48.0,771055.97,1020704.18,256552.44
42,TN,334,869.0,230.0,228.0,218.0,211.0,50.0,9.0,320.0,2604249.28,3266857.03,563946.03
43,TX,1199,1150.0,309.0,294.0,281.0,263.0,76.0,12.0,249.0,3805086.75,4821265.78,843622.75
44,UT,141,1052.0,132.0,316.0,302.0,282.0,42.0,6.0,376.0,2462823.06,3310030.19,947509.65
45,VA,307,1241.0,324.0,311.0,296.0,292.0,84.0,7.0,248.0,4308585.46,5523542.07,462426.59
46,VT,42,512.0,118.0,119.0,115.0,110.0,46.0,3.0,92.0,2875532.38,3941532.15,2459210.24
47,WA,366,825.0,205.0,209.0,204.0,206.0,40.0,13.0,166.0,2728827.63,3736005.79,746407.16
48,WI,439,560.0,140.0,138.0,138.0,140.0,37.0,4.0,140.0,1958817.88,2598659.81,703096.08
49,WV,104,720.0,191.0,181.0,166.0,163.0,46.0,3.0,181.0,2190039.46,2753569.06,957400.77
50,WY,80,324.0,86.0,79.0,77.0,75.0,24.0,1.0,85.0,1498872.01,2096440.24,387743.21
