,state_location,school_counts,enrollment_mean,g12_enrollment_mean,teachers_fte_mean,g12_students_retained_mean,students_SAT_ACT_mean,salaries_teachers_mean,salaries_total_mean,expenditures_nonpersonnel_mean
0,AK,56,508.0,112.0,28.0,5.0,69.0,1843139.86,2532664.41,467518.34
1,AL,292,727.0,167.0,41.0,5.0,197.0,2083518.38,2691311.5,851044.99
2,AR,276,516.0,118.0,41.0,1.0,163.0,1895425.57,2422515.09,2333468.38
3,AZ,457,727.0,174.0,52.0,12.0,135.0,1744228.42,2621916.67,842990.76
4,CA,1368,1310.0,303.0,56.0,4.0,244.0,4359428.29,5933321.78,1199936.77
5,CO,332,748.0,173.0,40.0,10.0,177.0,2289492.13,3057128.29,640929.88
6,CT,184,829.0,196.0,69.0,6.0,238.0,5181582.11,6898144.87,1893723.1
7,DC,36,522.0,104.0,38.0,5.0,172.0,3093732.83,5217973.99,1136325.91
8,DE,32,998.0,211.0,64.0,3.0,240.0,4991279.71,6378622.87,1954107.26
9,FL,599,1375.0,307.0,79.0,6.0,459.0,3497749.88,4975609.75,668524.56
10,GA,418,1220.0,270.0,71.0,9.0,244.0,3788239.09,5042263.53,821476.59
11,HI,40,1241.0,264.0,78.0,1.0,308.0,2953448.12,3839895.09,874249.18
12,IA,324,462.0,111.0,31.0,5.0,94.0,1843151.48,2494339.71,575883.94
13,ID,131,619.0,140.0,34.0,3.0,173.0,1609777.59,2174976.36,465897.28
14,IL,768,795.0,190.0,52.0,8.0,224.0,3589870.43,4936771.15,1156929.87
15,IN,385,863.0,197.0,51.0,3.0,155.0,2478473.32,3310533.96,1144899.68
16,KS,336,439.0,99.0,31.0,2.0,79.0,1522088.54,2740144.53,400353.1
17,KY,216,887.0,198.0,51.0,2.0,328.0,2626771.3,3406661.54,2060694.86
18,LA,245,770.0,167.0,42.0,5.0,216.0,2372092.69,3121685.64,837820.3
19,MA,318,832.0,188.0,65.0,3.0,195.0,4755127.18,6357377.62,715267.6
20,MD,198,1253.0,284.0,77.0,15.0,355.0,5298241.91,6541921.95,540884.3
21,ME,109,469.0,114.0,37.0,3.0,109.0,2056823.66,2886640.89,974228.23
22,MI,641,664.0,154.0,32.0,3.0,150.0,1926359.88,3031583.43,543901.05
23,MN,461,592.0,131.0,34.0,4.0,147.0,2135050.81,3400920.52,852561.83
24,MO,556,492.0,113.0,34.0,2.0,121.0,1753235.55,2329664.72,421988.47
25,MS,206,653.0,143.0,41.0,5.0,212.0,2014972.36,2750881.63,491618.46
26,MT,169,250.0,57.0,18.0,0.0,60.0,898533.86,1429990.36,399090.88
27,NC,511,898.0,199.0,53.0,4.0,196.0,2409347.55,3077076.89,366967.81
28,ND,165,204.0,45.0,17.0,1.0,42.0,1188751.9,1438601.95,426849.05
29,NE,265,385.0,92.0,28.0,6.0,109.0,1660289.48,2223221.84,587108.26
30,NH,94,597.0,141.0,49.0,6.0,145.0,2879665.87,4088657.54,1243262.59
31,NJ,356,1067.0,253.0,87.0,5.0,299.0,6425154.94,8825966.67,2022606.19
32,NM,182,523.0,112.0,30.0,5.0,188.0,1490755.87,2060919.94,447077.1
33,NV,109,1266.0,289.0,55.0,2.0,366.0,3621234.42,4996502.21,1142647.44
34,NY,1096,738.0,164.0,53.0,7.0,175.0,4332951.31,5742508.21,978534.42
35,OH,809,635.0,142.0,35.0,3.0,198.0,2379000.03,3167170.91,1063633.74
36,OK,457,399.0,94.0,23.0,3.0,107.0,1063302.46,1562125.12,1268683.66
37,OR,241,696.0,167.0,32.0,4.0,113.0,2105854.71,2935986.03,776043.49
38,PA,624,827.0,192.0,55.0,6.0,182.0,3767502.33,4875931.48,1455357.13
39,RI,52,768.0,175.0,59.0,7.0,213.0,4366797.23,5967376.43,1325269.98
40,SC,222,978.0,219.0,61.0,4.0,239.0,2851815.29,4164597.22,2300217.83
41,SD,164,227.0,52.0,16.0,2.0,47.0,761067.45,1004574.65,252149.79
42,TN,340,854.0,199.0,52.0,9.0,320.0,2653293.17,3335128.52,615627.84
43,TX,1329,1096.0,245.0,73.0,11.0,234.0,3629211.83,4607874.8,826508.55
44,UT,150,1033.0,274.0,43.0,5.0,364.0,2413415.85,3243670.88,976239.32
45,VA,316,1229.0,287.0,83.0,7.0,244.0,4250713.41,5448975.01,454374.73
46,VT,40,451.0,91.0,39.0,2.0,70.0,2496689.8,3340150.63,2046309.22
47,WA,389,795.0,197.0,38.0,11.0,154.0,2612913.11,3583236.5,733402.35
48,WI,485,532.0,131.0,35.0,4.0,131.0,1868295.81,2479301.74,675621.25
49,WV,111,707.0,158.0,45.0,3.0,176.0,2153330.24,2698785.01,932118.81
50,WY,81,323.0,75.0,24.0,2.0,84.0,1480982.94,2072754.52,380154.78
